"","month","gteq15","gteq20","gteq25","total"
"1","January",0.419354838709677,0.129032258064516,0.0258064516129032,155
"2","February",0.619718309859155,0.154929577464789,0.0211267605633803,142
"3","March",0.77124183006536,0.294117647058824,0.0392156862745098,153
"4","April",0.861788617886179,0.308943089430894,0.024390243902439,123
"5","May",0.891472868217054,0.534883720930233,0.0232558139534884,129
"6","June",0.540540540540541,0.0743243243243243,0,148
"7","July",0.577922077922078,0.0194805194805195,0,154
"8","August",0.426666666666667,0.0266666666666667,0,150
"9","September",0.251851851851852,0,0,135
"10","October",0.353333333333333,0.04,0,150
"11","November",0.472602739726027,0.0958904109589041,0.0205479452054795,146
"12","December",0.370860927152318,0.0927152317880795,0.0264900662251656,151
